,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,5,1,17,0.4681,2022_12_20_15_51_39_803862_RIM.jpg,Patching,5,,"[558.0, -2.0, 257.0, 131.0]",Rectangle,"('0', '0')",2022-12-22 09:59:42,"{'Object Chainage': '0.4681', 'Object Geo_Location': '0 , 0', 'Width': '0.773', 'Area': '1.27', 'Area_Percentage': '16.19', 'Condition': 'Good', 'Remarks': '', 'Count': ''}",46
1,6,1,17,0.4667,2022_12_20_15_51_39_803862_RIM.jpg,Patching,6,,"[401.0, 0.0, 108.0, 130.0]",Rectangle,"('0', '0')",2022-12-22 10:00:07,"{'Object Chainage': '0.4667', 'Object Geo_Location': '0 , 0', 'Width': '0.689', 'Area': '0.53', 'Area_Percentage': '6.75', 'Condition': 'Good', 'Remarks': '', 'Count': ''}",46
2,9,1,18,0.0498,2022_11_10_18_39_26_965643_RIM.jpg,Pothole,9,,"[868.0, -2.0, 221.0, 70.0]",Rectangle,"('0', '0')",2022-12-22 14:25:30,"{'Object Chainage': '0.0498', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Small (25mm deep & 200mm wide)', 'Width': '0.413', 'Area': '0.58', 'Area_Percentage': '7.3', 'Count': '', 'Remarks': ''}",44
3,11,1,18,0.2247,2022_11_10_18_40_32_799495_RIM.jpg,Alligator Cracking,11,,"[10.0, 1.0, 219.0, 59.0]",Rectangle,"('0', '0')",2022-12-22 14:27:00,"{'Object Chainage': '0.2247', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.348', 'Area': '0.49', 'Area_Percentage': '6.09', 'Remarks': ''}",39
4,12,1,18,0.2386,2022_11_10_18_40_36_739951_RIM.jpg,Alligator Cracking,12,,"[11.0, 2.0, 1544.0, 126.0]",Rectangle,"('0', '0')",2022-12-22 14:27:15,"{'Object Chainage': '0.2386', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.744', 'Area': '7.33', 'Area_Percentage': '91.74', 'Remarks': ''}",39
5,13,1,18,0.2512,2022_11_10_18_40_40_945698_RIM.jpg,Alligator Cracking,13,,"[887.0, 10.0, 670.0, 113.0]",Rectangle,"('0', '0')",2022-12-22 14:27:43,"{'Object Chainage': '0.2512', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.667', 'Area': '2.85', 'Area_Percentage': '35.7', 'Remarks': ''}",39
6,14,1,18,0.2565,2022_11_10_18_40_44_838283_RIM.jpg,Alligator Cracking,14,,"[12.0, 5.0, 823.0, 124.0]",Rectangle,"('0', '0')",2022-12-22 14:28:06,"{'Object Chainage': '0.2565', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.732', 'Area': '3.84', 'Area_Percentage': '48.13', 'Remarks': ''}",39
7,15,1,18,0.2623,2022_11_10_18_40_44_838283_RIM.jpg,Pothole,15,,"[1322.0, 50.0, 161.0, 83.0]",Rectangle,"('0', '0')",2022-12-22 14:28:18,"{'Object Chainage': '0.2623', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Small (25mm deep & 200mm wide)', 'Width': '0.49', 'Area': '0.5', 'Area_Percentage': '6.3', 'Count': '', 'Remarks': ''}",44
8,16,1,18,0.2686,2022_11_10_18_40_48_415711_RIM.jpg,Alligator Cracking,16,,"[6.0, 2.0, 1554.0, 125.0]",Rectangle,"('0', '0')",2022-12-22 14:28:34,"{'Object Chainage': '0.2686', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.738', 'Area': '7.32', 'Area_Percentage': '91.61', 'Remarks': ''}",39
9,17,1,18,0.2798,2022_11_10_18_40_51_879443_RIM.jpg,Alligator Cracking,17,,"[399.0, 3.0, 1158.0, 130.0]",Rectangle,"('0', '0')",2022-12-22 14:28:48,"{'Object Chainage': '0.2798', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.767', 'Area': '5.67', 'Area_Percentage': '70.99', 'Remarks': ''}",39
10,18,1,18,0.3551,2022_11_10_18_41_15_413475_RIM.jpg,Alligator Cracking,18,,"[12.0, -2.0, 343.0, 135.0]",Rectangle,"('0', '0')",2022-12-22 14:29:53,"{'Object Chainage': '0.3551', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.797', 'Area': '1.74', 'Area_Percentage': '21.84', 'Remarks': ''}",39
11,19,1,18,0.3781,2022_11_10_18_41_20_826990_RIM.jpg,Alligator Cracking,19,,"[505.0, 69.0, 390.0, 60.0]",Rectangle,"('0', '0')",2022-12-22 14:30:15,"{'Object Chainage': '0.3781', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.354', 'Area': '0.88', 'Area_Percentage': '11.04', 'Remarks': ''}",39
12,22,1,18,0.5005,2022_11_10_18_41_49_043493_RIM.jpg,Alligator Cracking,22,,"[634.0, 13.0, 926.0, 80.0]",Rectangle,"('0', '0')",2022-12-22 14:32:10,"{'Object Chainage': '0.5005', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.472', 'Area': '2.79', 'Area_Percentage': '34.94', 'Remarks': ''}",39
13,25,1,18,0.5571,2022_11_10_18_42_02_706934_RIM.jpg,Alligator Cracking,25,,"[3.0, 2.0, 1042.0, 58.0]",Rectangle,"('0', '0')",2022-12-22 14:33:18,"{'Object Chainage': '0.5571', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.342', 'Area': '2.28', 'Area_Percentage': '28.5', 'Remarks': ''}",39
14,26,1,18,0.5702,2022_11_10_18_42_04_802327_RIM.jpg,Alligator Cracking,26,,"[548.0, 4.0, 1013.0, 63.0]",Rectangle,"('0', '0')",2022-12-22 14:34:08,"{'Object Chainage': '0.5702', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.372', 'Area': '2.4', 'Area_Percentage': '30.1', 'Remarks': ''}",39
15,27,1,18,0.5768,2022_11_10_18_42_07_008425_RIM.jpg,Alligator Cracking,27,,"[-1.0, 3.0, 938.0, 89.0]",Rectangle,"('0', '0')",2022-12-22 14:34:51,"{'Object Chainage': '0.5768', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.525', 'Area': '3.15', 'Area_Percentage': '39.37', 'Remarks': ''}",39
16,28,1,18,0.591,2022_11_10_18_42_09_383071_RIM.jpg,Alligator Cracking,28,,"[819.0, 8.0, 744.0, 122.0]",Rectangle,"('0', '0')",2022-12-22 14:35:08,"{'Object Chainage': '0.591', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.72', 'Area': '3.42', 'Area_Percentage': '42.81', 'Remarks': ''}",39
17,32,1,18,0.6665,2022_11_10_18_42_28_434097_RIM.jpg,Alligator Cracking,32,,"[138.0, 0.0, 565.0, 71.0]",Rectangle,"('0', '0')",2022-12-22 14:36:59,"{'Object Chainage': '0.6665', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.419', 'Area': '1.51', 'Area_Percentage': '18.92', 'Remarks': ''}",39
18,34,1,18,0.805,2022_11_10_18_42_58_933492_RIM.jpg,Alligator Cracking,34,,"[0.0, 69.0, 323.0, 50.0]",Rectangle,"('0', '0')",2022-12-22 14:37:57,"{'Object Chainage': '0.805', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.295', 'Area': '0.61', 'Area_Percentage': '7.62', 'Remarks': ''}",39
19,42,1,18,0.8896,2022_11_10_18_43_17_243501_RIM.jpg,Alligator Cracking,42,,"[859.0, 93.0, 174.0, 38.0]",Rectangle,"('0', '0')",2022-12-22 14:41:22,"{'Object Chainage': '0.8896', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.224', 'Area': '0.25', 'Area_Percentage': '3.12', 'Remarks': ''}",39
20,44,1,18,0.9359,2022_11_10_18_43_29_866725_RIM.jpg,Alligator Cracking,44,,"[-2.0, 27.0, 638.0, 67.0]",Rectangle,"('0', '0')",2022-12-22 14:41:58,"{'Object Chainage': '0.9359', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.395', 'Area': '1.61', 'Area_Percentage': '20.16', 'Remarks': ''}",39
21,45,1,18,0.9394,2022_11_10_18_43_29_866725_RIM.jpg,Alligator Cracking,45,,"[760.0, 37.0, 305.0, 64.0]",Rectangle,"('0', '0')",2022-12-22 14:42:11,"{'Object Chainage': '0.9394', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.378', 'Area': '0.74', 'Area_Percentage': '9.21', 'Remarks': ''}",39
22,46,1,18,0.9406,2022_11_10_18_43_29_866725_RIM.jpg,Data Loss,46,,"[673.0, -2.0, 887.0, 16.0]",Rectangle,"('0', '0')",2022-12-22 14:42:27,"{'Object Chainage': '0.9406', 'Object Geo_Location': '0 , 0', 'Area': '0.53', 'Area_Percentage': '6.69', 'Condition': 'data loss', 'Remarks': ''}",71
23,47,1,18,0.9247,2022_11_10_18_43_27_365418_RIM.jpg,Data Loss,47,,"[-2.0, -2.0, 233.0, 18.0]",Rectangle,"('0', '0')",2022-12-22 14:42:41,"{'Object Chainage': '0.9247', 'Object Geo_Location': '0 , 0', 'Area': '0.16', 'Area_Percentage': '1.98', 'Condition': 'data loss', 'Remarks': ''}",71
24,48,1,18,0.9519,2022_11_10_18_43_32_421889_RIM.jpg,Alligator Cracking,48,,"[1127.0, 31.0, 423.0, 96.0]",Rectangle,"('0', '0')",2022-12-22 14:43:02,"{'Object Chainage': '0.9519', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.567', 'Area': '1.53', 'Area_Percentage': '19.15', 'Remarks': ''}",39
25,49,1,18,0.9561,2022_11_10_18_43_35_015948_RIM.jpg,Transverse Cracks,49,,"[283.0, -2.0, 150.0, 132.0]",Rectangle,"('0', '0')",2022-12-22 14:43:23,"{'Object Chainage': '0.9561', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '0.958', 'Width': '0.779', 'Area': '0.75', 'Area_Percentage': '9.34', 'Remarks': ''}",42
26,50,1,18,0.9887,2022_11_10_18_43_43_155170_RIM.jpg,Alligator Cracking,50,,"[662.0, 2.0, 279.0, 129.0]",Rectangle,"('0', '0')",2022-12-22 14:44:09,"{'Object Chainage': '0.9887', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.761', 'Area': '1.36', 'Area_Percentage': '16.97', 'Remarks': ''}",39
27,51,1,18,1.0172,2022_11_10_18_43_53_309999_RIM.jpg,Alligator Cracking,51,,"[409.0, -1.0, 279.0, 81.0]",Rectangle,"('0', '0')",2022-12-22 14:44:25,"{'Object Chainage': '1.0172', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.478', 'Area': '0.85', 'Area_Percentage': '10.66', 'Remarks': ''}",39
28,52,1,18,1.0191,2022_11_10_18_43_53_309999_RIM.jpg,Alligator Cracking,52,,"[805.0, 0.0, 107.0, 98.0]",Rectangle,"('0', '0')",2022-12-22 14:44:32,"{'Object Chainage': '1.0191', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Width': '0.578', 'Area': '0.4', 'Area_Percentage': '4.95', 'Remarks': ''}",39
29,53,1,18,1.0288,2022_11_10_18_43_56_762761_RIM.jpg,Pothole,53,,"[685.0, -2.0, 252.0, 64.0]",Rectangle,"('0', '0')",2022-12-22 14:45:01,"{'Object Chainage': '1.0288', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Small (25mm deep & 200mm wide)', 'Width': '0.378', 'Area': '0.61', 'Area_Percentage': '7.61', 'Count': '', 'Remarks': ''}",44
30,54,1,18,1.0315,2022_11_10_18_43_56_762761_RIM.jpg,Pothole,54,,"[1212.0, -2.0, 123.0, 57.0]",Rectangle,"('0', '0')",2022-12-22 14:45:10,"{'Object Chainage': '1.0315', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Small (25mm deep & 200mm wide)', 'Width': '0.336', 'Area': '0.26', 'Area_Percentage': '3.31', 'Count': '', 'Remarks': ''}",44
31,55,1,18,1.0449,2022_11_10_18_44_02_622084_RIM.jpg,Longitudinal Cracks,55,,"[-2.0, 30.0, 293.0, 63.0]",Rectangle,"('0', '0')",2022-12-22 14:46:10,"{'Object Chainage': '1.0449', 'Object Geo_Location': '0 , 0', 'Severity Level': 'Low (1-3 mm)', 'Length': '1.87', 'Width': '0.372', 'Area': '0.7', 'Area_Percentage': '8.71', 'Remarks': ''}",41
