RANGE,FRAMECOUNT,,,,RANGE,RANGE
22.2885,4,,,,22.2885,1.5741
22.2651,4,,,,22.2651,1.5741
22.2534,4,,,,22.2534,1.5741
22.2456,4,,,,22.2456,1.5741
22.2495,10,,,,22.2495,1.5663
22.2456,10,,,,22.2456,1.5702
22.2456,10,,,,22.2456,1.5663
22.2417,10,,,,22.2417,1.5702
22.2144,10,,,,22.2144,1.5702
22.2144,10,,,,22.2144,1.5702
22.2105,15,,,,22.2105,1.5663
22.2066,15,,,,22.2066,1.5663
22.2066,15,,,,22.2066,1.5663
22.2066,15,,,,22.2066,1.5663
22.2027,15,,,,22.2027,1.5663
22.1988,20,,,,22.1988,1.5624
22.1988,20,,,,22.1988,1.5663
22.1988,20,,,,22.1988,1.5624
22.1988,20,,,,22.1988,1.5585
22.1949,20,,,,22.1949,1.5624
22.1949,25,,,,22.1949,1.5624
22.1871,25,,,,22.1871,1.5624
22.191,25,,,,22.191,1.5624
22.1871,25,,,,22.1871,1.5585
22.191,25,,,,22.191,1.5585
22.1832,30,,,,22.1832,1.5546
22.1871,30,,,,22.1871,1.5585
22.191,30,,,,22.191,1.5585
22.1871,30,,,,22.1871,1.5585
22.1871,30,,,,22.1871,1.5546
22.1871,35,,,,22.1871,1.5546
22.1871,35,,,,22.1871,1.5546
22.1832,35,,,,22.1832,1.5585
22.1832,35,,,,22.1832,1.5546
22.1832,35,,,,22.1832,1.5585
22.1793,40,,,,22.1793,1.5585
22.1793,40,,,,22.1793,1.5585
22.1832,40,,,,22.1832,1.5624
22.1793,40,,,,22.1793,1.5624
22.1793,40,,,,22.1793,1.5585
22.1793,45,,,,22.1793,1.5624
22.1832,45,,,,22.1832,1.5624
22.1793,45,,,,22.1793,1.5585
22.1754,45,,,,22.1754,1.5624
22.1754,45,,,,22.1754,1.5585
22.1754,50,,,,22.1754,1.5546
22.1754,50,,,,22.1754,1.5585
22.1754,50,,,,22.1754,1.5624
22.1715,50,,,,22.1715,1.5585
22.1715,50,,,,22.1715,1.5585
22.1715,55,,,,22.1715,1.5585
22.1715,55,,,,22.1715,1.5585
22.1754,55,,,,22.1754,1.5585
22.1754,55,,,,22.1754,1.5585
22.1715,55,,,,22.1715,1.5585
22.1715,60,,,,22.1715,1.5585
22.1715,60,,,,22.1715,1.5624
22.1715,60,,,,22.1715,1.5585
22.1676,60,,,,22.1676,1.5546
22.1715,60,,,,22.1715,1.5546
22.1676,65,,,,22.1676,1.5585
22.1676,65,,,,22.1676,1.5585
22.1676,65,,,,22.1676,1.5546
22.1637,65,,,,22.1637,1.5585
22.1676,65,,,,22.1676,1.5546
22.1637,70,,,,22.1637,1.5507
22.1637,70,,,,22.1637,1.5546
22.1637,70,,,,22.1637,1.5507
22.1637,70,,,,22.1637,1.5468
22.1676,70,,,,22.1676,1.5468
22.1676,76,,,,22.1676,1.5507
22.1676,76,,,,22.1676,1.5468
22.1676,76,,,,22.1676,1.5468
22.1676,76,,,,22.1676,1.5468
22.1676,76,,,,22.1676,1.5429
22.1676,76,,,,22.1676,1.5429
22.1676,81,,,,22.1676,1.5429
22.1676,81,,,,22.1676,1.5468
22.1676,81,,,,22.1676,1.5468
22.1676,81,,,,22.1676,1.5429
22.1637,81,,,,22.1637,1.5429
22.1676,86,,,,22.1676,1.5429
22.1637,86,,,,22.1637,1.539
22.1637,86,,,,22.1637,1.539
22.1598,86,,,,22.1598,1.5429
22.1598,86,,,,22.1598,1.5429
22.1559,91,,,,22.1559,1.539
22.1559,91,,,,22.1559,1.5429
22.1403,91,,,,22.1403,1.5429
22.1364,91,,,,22.1364,1.539
22.1325,91,,,,22.1325,1.539
22.1325,96,,,,22.1325,1.539
22.1325,96,,,,22.1325,1.5429
22.1325,96,,,,22.1325,1.539
22.1286,96,,,,22.1286,1.539
22.1247,96,,,,22.1247,1.539
22.1286,100,,,,22.1286,1.5351
