RANGE,FRAMECOUNT
-9.891000000000076,1.0
-9.852500000000077,6.0
-9.891000000000076,6.0
-9.891000000000076,6.0
-9.852500000000077,6.0
-9.852500000000077,6.0
-9.891000000000076,11.0
-9.891000000000076,11.0
-9.852500000000077,11.0
-9.852500000000077,11.0
-9.852500000000077,11.0
-9.852500000000077,16.0
-9.852500000000077,16.0
-9.852500000000077,16.0
-9.891000000000076,16.0
-9.891000000000076,16.0
-9.891000000000076,21.0
-9.891000000000076,21.0
-9.891000000000076,21.0
-9.891000000000076,21.0
-9.891000000000076,21.0
-9.929500000000075,26.0
-9.929500000000075,26.0
-9.929500000000075,26.0
-9.929500000000075,26.0
-9.929500000000075,26.0
-9.929500000000075,31.0
-9.929500000000075,31.0
-9.968000000000075,31.0
-9.968000000000075,31.0
-9.968000000000075,31.0
-9.968000000000075,36.0
-9.968000000000075,36.0
-9.968000000000075,36.0
-9.968000000000075,36.0
-9.968000000000075,36.0
-9.968000000000075,41.0
-9.968000000000075,41.0
-9.968000000000075,41.0
-9.968000000000075,41.0
-9.929500000000075,41.0
-9.968000000000075,46.0
-9.929500000000075,46.0
-9.929500000000075,46.0
-9.929500000000075,46.0
-9.929500000000075,46.0
-9.929500000000075,52.0
-9.929500000000075,52.0
-9.929500000000075,52.0
-9.929500000000075,52.0
-9.929500000000075,52.0
-9.929500000000075,52.0
-9.929500000000075,57.0
-9.968000000000075,57.0
-9.929500000000075,57.0
-9.929500000000075,57.0
-9.968000000000075,57.0
-9.968000000000075,62.0
-9.968000000000075,62.0
-9.968000000000075,62.0
-9.968000000000075,62.0
-10.006500000000074,62.0
-10.006500000000074,67.0
-10.006500000000074,67.0
-10.006500000000074,67.0
-10.006500000000074,67.0
-10.006500000000074,67.0
-10.006500000000074,72.0
-10.006500000000074,72.0
-10.006500000000074,72.0
-10.006500000000074,72.0
-10.006500000000074,72.0
-10.006500000000074,77.0
-10.006500000000074,77.0
-10.006500000000074,77.0
-10.006500000000074,77.0
-10.006500000000074,77.0
-10.006500000000074,82.0
-10.006500000000074,82.0
-10.006500000000074,82.0
-10.006500000000074,82.0
-10.006500000000074,82.0
-10.006500000000074,87.0
-10.006500000000074,87.0
-10.006500000000074,87.0
-10.006500000000074,87.0
-10.006500000000074,87.0
-10.006500000000074,92.0
-10.006500000000074,92.0
-10.006500000000074,92.0
-10.006500000000074,92.0
-10.006500000000074,92.0
-10.006500000000074,97.0
-9.968000000000075,97.0
-9.968000000000075,97.0
-9.968000000000075,97.0
-9.968000000000075,97.0
-9.968000000000075,102.0
-9.929500000000075,102.0
-9.929500000000075,102.0
-9.929500000000075,102.0
-9.929500000000075,102.0
-9.929500000000075,107.0
-9.929500000000075,107.0
-9.929500000000075,107.0
-9.929500000000075,107.0
-9.929500000000075,107.0
-9.929500000000075,112.0
-9.891000000000076,112.0
-9.891000000000076,112.0
-9.891000000000076,112.0
-9.891000000000076,112.0
-9.891000000000076,117.0
-9.891000000000076,117.0
-9.891000000000076,117.0
-9.891000000000076,117.0
-9.891000000000076,117.0
-9.891000000000076,122.0
-9.891000000000076,122.0
-9.891000000000076,122.0
-9.891000000000076,122.0
-9.891000000000076,122.0
-9.852500000000077,127.0
-9.852500000000077,127.0
-9.852500000000077,127.0
-9.852500000000077,127.0
-9.852500000000077,127.0
-9.852500000000077,132.0
-9.852500000000077,132.0
-9.852500000000077,132.0
-9.852500000000077,132.0
-9.852500000000077,132.0
-9.814000000000078,137.0
-9.814000000000078,137.0
-9.814000000000078,137.0
-9.852500000000077,137.0
-9.814000000000078,137.0
-9.814000000000078,142.0
-9.852500000000077,142.0
-9.852500000000077,142.0
-9.814000000000078,142.0
-9.814000000000078,142.0
-9.814000000000078,147.0
